Time,"100 * sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / sum(jvm_memory_max_bytes{job=""rainmind-app"", area=""heap""})",,
2026-02-15 22:57,10.10%,,
2026-02-15 22:57,10.30%,,
2026-02-15 22:58,9.29%,,
2026-02-15 22:58,8.16%,,
2026-02-15 22:58,6.23%,,
2026-02-15 22:58,5.69%,,
2026-02-15 22:59,4.51%,,
2026-02-15 22:59,4.55%,,
2026-02-15 22:59,4.79%,,
2026-02-15 22:59,11.50%,,
2026-02-15 23:00,8.31%,,
2026-02-15 23:00,9.21%,,
2026-02-15 23:00,8.11%,,
2026-02-15 23:00,6.88%,,
2026-02-15 23:01,7.59%,,7.41%
2026-02-15 23:01,6.96%,,
2026-02-15 23:01,5.78%,,
2026-02-15 23:01,5.40%,,
2026-02-15 23:02,5.60%,,
2026-02-15 23:02,5.81%,,
2026-02-15 23:02,6.01%,,
