Time,"sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / 1000 / 1000",,,
2026-02-15 16:34,49.8 MB,,,
2026-02-15 16:34,53.0 MB,,,
2026-02-15 16:34,56.1 MB,,,
2026-02-15 16:34,58.2 MB,,,
2026-02-15 16:35,61.4 MB,,,
2026-02-15 16:35,63.5 MB,,,
2026-02-15 16:35,66.6 MB,,,
2026-02-15 16:35,68.7 MB,,,
2026-02-15 16:36,71.8 MB,,,
2026-02-15 16:36,73.9 MB,,,
2026-02-15 16:36,77.1 MB,,,
2026-02-15 16:36,79.2 MB,,,
2026-02-15 16:37,82.3 MB,,,
2026-02-15 16:37,85.5 MB,,,
2026-02-15 16:37,87.6 MB,,,
2026-02-15 16:37,90.7 MB,,,
2026-02-15 16:38,47.0 MB,,,
2026-02-15 16:38,50.1 MB,,,
2026-02-15 16:38,53.2 MB,,,
2026-02-15 16:38,56.4 MB,,,
2026-02-15 16:39,59.5 MB,,,
2026-02-15 16:39,61.6 MB,,,
2026-02-15 16:39,63.7 MB,,,
2026-02-15 16:39,66.9 MB,,,
2026-02-15 16:40,69.0 MB,,,
2026-02-15 16:40,72.1 MB,,,
2026-02-15 16:40,75.3 MB,,,
2026-02-15 16:40,77.4 MB,,,
2026-02-15 16:41,80.5 MB,,,
2026-02-15 16:41,83.7 MB,,,
2026-02-15 16:41,85.7 MB,,,
2026-02-15 16:41,88.9 MB,,,
2026-02-15 16:42,91.0 MB,,,
2026-02-15 16:42,46.5 MB,,,
2026-02-15 16:42,48.6,,,
2026-02-15 16:42,80.9,,,
2026-02-15 16:43,367,,,
2026-02-15 16:43,352,,,
2026-02-15 16:43,149,,,359.1190476
2026-02-15 16:43,171,,,
2026-02-15 16:44,103,,,
2026-02-15 16:44,455,,,
2026-02-15 16:44,121,,,
2026-02-15 16:44,691,,,
2026-02-15 16:45,277,,,
2026-02-15 16:45,542,,,
2026-02-15 16:45,332,,,
2026-02-15 16:45,717,,,
2026-02-15 16:46,114,,,
2026-02-15 16:46,612,,,
2026-02-15 16:46,578,,,
2026-02-15 16:46,636,,,
2026-02-15 16:47,395,,,
2026-02-15 16:47,620,,,
2026-02-15 16:47,180,,,
2026-02-15 16:47,470 MB,,,
2026-02-15 16:48,190 MB,,,
2026-02-15 16:48,194 MB,,,
2026-02-15 16:48,198 MB,,,
2026-02-15 16:48,202 MB,,,
2026-02-15 16:49,205 MB,,,
