Time,"sum(rate(container_cpu_usage_seconds_total{container_label_com_docker_compose_service=""app""}[1m]))",,
2026-02-15 22:57,0.772,,
2026-02-15 22:57,0.906,,
2026-02-15 22:57,0.737,,
2026-02-15 22:58,0.559,,
2026-02-15 22:58,0.532,,
2026-02-15 22:58,0.534,,
2026-02-15 22:58,0.536,,
2026-02-15 22:59,0.537,,
2026-02-15 22:59,0.523,,
2026-02-15 22:59,0.506,,
2026-02-15 22:59,0.493,,
2026-02-15 23:00,0.48,,0.550473684
2026-02-15 23:00,0.478,,
2026-02-15 23:00,0.478,,
2026-02-15 23:00,0.482,,
2026-02-15 23:01,0.487,,
2026-02-15 23:01,0.492,,
2026-02-15 23:01,0.495,,
2026-02-15 23:01,0.432,,
2026-02-15 23:02,0.29,,
2026-02-15 23:02,0.153,,
