Time,"sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / 1000 / 1000",,,,,
2026-02-15 22:57,90.9,,,,,
2026-02-15 22:57,205,,,,,
2026-02-15 22:57,211,,,,,
2026-02-15 22:58,190,,,,,
2026-02-15 22:58,166,,,,,
2026-02-15 22:58,127,,,,,
2026-02-15 22:58,116,,,,,
2026-02-15 22:59,91.9,,,,,
2026-02-15 22:59,92.9,,,,,
2026-02-15 22:59,97.8,,,,,147.9736842
2026-02-15 22:59,235,,,,,
2026-02-15 23:00,170,,,,,
2026-02-15 23:00,188,,,,,
2026-02-15 23:00,165,,,,,
2026-02-15 23:00,140,,,,,
2026-02-15 23:01,155,,,,,
2026-02-15 23:01,142,,,,,
2026-02-15 23:01,118,,,,,
2026-02-15 23:01,110,,,,,
2026-02-15 23:02,114 MB,,,,,
2026-02-15 23:02,118 MB,,,,,
