Time,"{instance=""mysql-exporter:9104"", job=""mysql""}"
2026-03-08 22:26,19.4 MB
2026-03-08 22:27,19.4 MB
2026-03-08 22:27,19.4 MB
2026-03-08 22:27,19.4 MB
2026-03-08 22:27,19.4 MB
2026-03-08 22:28,19.4 MB
2026-03-08 22:28,19.4 MB
2026-03-08 22:28,19.4 MB
2026-03-08 22:28,19.4 MB
2026-03-08 22:29,19.4 MB
2026-03-08 22:29,19.4 MB
2026-03-08 22:29,21.3 MB
2026-03-08 22:29,21.4 MB
2026-03-08 22:30,21.7 MB
2026-03-08 22:30,21.8 MB
2026-03-08 22:30,22.0 MB
2026-03-08 22:30,22.2 MB
2026-03-08 22:31,22.3 MB
2026-03-08 22:31,22.6 MB
2026-03-08 22:31,23.1 MB
2026-03-08 22:31,23.2 MB
2026-03-08 22:32,23.5 MB
2026-03-08 22:32,23.8 MB
2026-03-08 22:32,24.0 MB
2026-03-08 22:32,24.3 MB
2026-03-08 22:33,24.7 MB
2026-03-08 22:33,25.0 MB
2026-03-08 22:33,25.3 MB
2026-03-08 22:33,25.6 MB
2026-03-08 22:34,25.8 MB
2026-03-08 22:34,26.3 MB
2026-03-08 22:34,26.6 MB
2026-03-08 22:34,26.9 MB
2026-03-08 22:35,27.1 MB
2026-03-08 22:35,27.5 MB
2026-03-08 22:35,27.7 MB
2026-03-08 22:35,28.1 MB
2026-03-08 22:36,28.4 MB
2026-03-08 22:36,28.7 MB
2026-03-08 22:36,29.0 MB
2026-03-08 22:36,29.3 MB
2026-03-08 22:37,29.6 MB
2026-03-08 22:37,30.0 MB
2026-03-08 22:37,30.4 MB
2026-03-08 22:37,30.7 MB
2026-03-08 22:38,31.0 MB
2026-03-08 22:38,31.3 MB
2026-03-08 22:38,31.5 MB
2026-03-08 22:38,31.9 MB
2026-03-08 22:39,32.2 MB
2026-03-08 22:39,32.6 MB
2026-03-08 22:39,32.8 MB
2026-03-08 22:39,33.1 MB
2026-03-08 22:40,33.5 MB
2026-03-08 22:40,33.8 MB
2026-03-08 22:40,34.1 MB
2026-03-08 22:40,34.5 MB
2026-03-08 22:41,34.8 MB
2026-03-08 22:41,35.1 MB
2026-03-08 22:41,35.1 MB
2026-03-08 22:41,35.1 MB
